PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-08,17:01:59.46,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.81584,-0.6615507545,-5.348753518,2125.79866,224.5900391,1:30,5.79955,3.27363,5.50217,-26.90269,13.10078,12.98944,2.93628,-0.66036,77.53331,-5.632265135,-2.950717952,0.4552188974,-8.15388,7.10033,-2.8146,50,5.72344,10.95154,-121.54303,-2.29598,-12.3743,20.58341,-21.39862,b94fe6a1-01b3-4d65-afbc-19c35b357659,3842a0a1-437e-4413-887b-e69dcada7b3b,82.80069,Pitching,25410021,,,,,,,,,,,,,,,,,,,,16.83264269,2034.718124,0.9571546743,,67b52a70-3c11-4d2c-8867-e943f4bfe9f3,22a94348-6609-46ba-97f3-abddc08ed57d
2,2026-09-08,17:02:15.13,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.78405,-0.6666806557,-3.48606799,2199.691537,238.3828698,2:00,5.72636,3.06667,5.43751,-31.2229,8.96874,14.63244,2.49907,1.01809,77.19109,-6.449015648,-0.767963018,0.4562882749,-8.64833,4.92247,-2.7684,50,5.64591,6.93012,-121.72503,-2.45437,-13.07002,22.26768,-24.73483,94d9c253-433b-4450-a5f7-a525a15da173,3842a0a1-437e-4413-887b-e69dcada7b3b,82.60664,Pitching,25410021,,,,,,,,,,,,,,,,,,,,16.31136691,2111.153054,0.9597495916,,d1e86c74-ea34-4388-893e-8974aec92217,22a94348-6609-46ba-97f3-abddc08ed57d
3,2026-09-08,17:02:30.83,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.98104,-1.522816235,-4.901982972,2232.308952,244.1518985,2:15,5.72645,3.01825,5.55036,-33.28613,6.38235,13.22428,1.52427,-0.47088,78.15658,-7.653571906,-2.458106374,0.453308805,-8.15275,3.73993,-2.60264,50,5.57231,10.01717,-121.85905,-4.34406,-12.46164,20.23871,-26.45749,fe1a5a4b-c092-4a8d-a27f-c0db0799c8b1,3842a0a1-437e-4413-887b-e69dcada7b3b,83.14958,Pitching,25410021,,,,,,,,,,,,,,,,,,,,24.91618946,2024.53682,0.9069250105,,e8082b32-0844-443d-8c5d-d4262dacd8c7,22a94348-6609-46ba-97f3-abddc08ed57d
4,2026-09-08,17:02:48.32,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.66627,-0.9599405955,-3.985579849,2137.119911,205.1938233,12:45,5.70109,3.12794,5.40478,-26.55349,13.74553,6.49339,2.58672,-0.07085,77.24591,-5.864980993,-2.784207592,0.4568973433,-4.4254,7.50622,-2.77755,50,5.59703,8.24867,-121.49781,-2.92626,-6.68302,21.51171,-20.83853,e4095b19-33fe-493d-916b-d2f901f8f285,3842a0a1-437e-4413-887b-e69dcada7b3b,82.49652,Pitching,25410021,,,,,,,,,,,,,,,,,,,,20.50861854,2001.668182,0.9366194998,,262eaac4-7551-404c-9f8b-d76f43adb09a,22a94348-6609-46ba-97f3-abddc08ed57d
5,2026-09-08,17:03:07.83,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.9744,-0.6036968477,-4.159904631,2180.063228,222.2257849,1:30,5.7684,3.27973,5.63067,-25.32952,14.4924,13.20784,3.09291,0.49277,77.099,-5.319704519,-1.699234267,0.4541846925,-8.13518,7.89052,-2.93412,50,5.70078,8.44371,-121.92983,-2.1022,-12.31893,22.65414,-20.22561,9139d228-9017-4e9f-931e-e9fee07ce644,3842a0a1-437e-4413-887b-e69dcada7b3b,82.98923,Pitching,25410021,,,,,,,,,,,,,,,,,,,,8.039633454,2158.63661,0.990171561,,b36c3ef6-bdaf-4e43-9c6e-fd933af0cdbb,22a94348-6609-46ba-97f3-abddc08ed57d
6,2026-09-08,17:03:28.64,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,84.39014,-0.1057547064,-3.071646675,2152.987062,234.0466924,1:45,5.75763,3.23418,5.39654,-30.16474,9.57808,13.26865,3.14467,1.45905,77.46386,-5.702577738,-0.6042909279,0.4537333962,-7.83878,5.09776,-2.96962,50,5.72723,6.1354,-122.63044,-1.23872,-11.98932,23.24943,-24.37708,ec9bf5df-0e6c-43e4-9e0b-62544ce5b50f,3842a0a1-437e-4413-887b-e69dcada7b3b,83.07178,Pitching,25410021,,,,,,,,,,,,,,,,,,,,13.23845925,2095.772303,0.9734254052,,a59ca7eb-6691-48dc-8fe8-7b879fb39277,22a94348-6609-46ba-97f3-abddc08ed57d
7,2026-09-08,17:03:46.37,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,84.26666,-1.893836657,-3.419830391,2186.559263,218.372751,1:15,5.67661,3.30323,5.46735,-24.79855,15.03638,11.92846,1.8341,1.09335,77.38821,-6.492121068,-1.199716682,0.4542588927,-7.24251,8.48529,-3.01065,50,5.49315,6.91688,-122.35177,-4.87332,-11.02275,23.23229,-19.25983,5a6797b5-2c5e-44e4-83dc-8457d2d80c81,3842a0a1-437e-4413-887b-e69dcada7b3b,82.97568,Pitching,25410021,,,,,,,,,,,,,,,,,,,213.669626,15.42101848,2107.838587,0.9639979223,1:00,471540a4-c828-4aba-b7d3-fd4ad0f6aaab,22a94348-6609-46ba-97f3-abddc08ed57d
8,2026-09-08,17:04:06.85,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.17551,-0.6727267479,-4.339056903,2175.552652,239.5668511,2:00,5.77444,3.0954,5.65431,-29.9044,8.79884,15.0517,2.65327,0.29583,78.27824,-6.237840446,-1.533328264,0.4477597789,-9.17824,4.87596,-2.73736,50,5.69846,8.8932,-123.64446,-2.4264,-14.28669,23.38292,-24.58421,1b1dbf84-9be7-443b-87dd-b1e76f23d5cd,3842a0a1-437e-4413-887b-e69dcada7b3b,84.18005,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.07112812,1954.188323,0.8982491512,,cf5a2448-1e74-4ca9-a511-54593b048f15,22a94348-6609-46ba-97f3-abddc08ed57d
9,2026-09-08,17:04:26.39,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,78.79824,-1.001954793,-4.332126597,1580.938693,236.5347973,2:00,5.5498,3.46674,6.13846,-35.5383,8.65307,13.15568,1.65969,0.55234,73.01971,-7.641139592,-1.864731582,0.4784539796,-8.21958,4.94679,-3.14333,50,5.45468,8.31012,-114.49801,-2.99042,-11.02443,19.09177,-25.53922,72cf4de1-45ed-4e49-8680-d42aeaa0aded,3842a0a1-437e-4413-887b-e69dcada7b3b,78.77965,Pitching,25410021,,,,,,,,,,,,,,,,,,,,0.9823247288,1580.706345,0.9998530315,,a5c9383b-8431-45a9-b986-1c8dd084efbb,22a94348-6609-46ba-97f3-abddc08ed57d
10,2026-09-08,17:04:51.20,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,78.02344,1.079501886,-4.19588545,1516.512307,240.0840158,2:00,5.80058,3.4078,5.801,-38.20533,7.63377,13.39905,3.62349,0.61552,71.73196,-6.051648582,-1.692014701,0.487292183,-8.29062,3.81534,-3.07119,50,5.86645,7.92342,-113.29901,1.03273,-10.83981,19.56205,-27.18558,91664e94-3e59-49cf-9f55-8195b41a7f92,3842a0a1-437e-4413-887b-e69dcada7b3b,77.3508,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-0.03380042371,1516.512043,0.999999826,,9bafedd9-2531-4af1-b022-b7fe01847719,22a94348-6609-46ba-97f3-abddc08ed57d
